Company name,Brief description,Protein category,Company focus,Current round,Target deal size,Amount raised to date for this round,Total investment to date,Asset type,Target investor types,Pitch deck (optional),Video of pitch (optional),Technology Focus (from Database link),Product type,Animal-type analog,Ingredient type,Operating regions,Country,Founders,Year founded,Contact email,Website
Nimble Foods,US-based company producing frozen single serve plant-based entrees for retail consumers.,Plant-based,Other,Seed,1.5,0,0,SAFE,"Angel ,Accelerator/incubator,Venture capital ,Family office,Strategic or corporate,Private equity",Nimble Deck.pdf (https://dl.airtable.com/.attachments/722386ced970780b2d6f047bb98b728f/0fce174e/NimbleDeck.pdf),,End product formulation and manufacturing,,,,U.S. and Canada,United States,"Michael Pease, Craig Cochran",2022,mike@eatnimble.com,eatnimble.com
The Better Meat Co.,Fermentation experts creating delicious mycelium ingredients for food companies to make the most convincing alt-meats.,Biomass fermentation,"Meat,Seafood",Series A ,$60M,0,$27M,Equity,"Venture capital ,Family office,Strategic or corporate,Private equity,Foundation,Sovereign wealth fund,Hedge fund,Pension fund ,Endowment",,,"Ingredient optimization,Feedstocks","Ground meat,Pet food,Other meat,Ingredients,Other","Beef/veal,Chicken,Pork,Turkey,Fish,Shellfish,Crab,Tuna,Other",Fungi,U.S. and Canada,United States,Paul Shapiro and Joanna Bromley,2018,paul.shapiro@bettermeat.co,www.bettermeat.co
Smart MCs,Australian based company that provides the means for up-scaling the cell culture of cultivated meat companies.,Cultivated,"Meat,Ingredients and inputs,Other",Seed,1.3,0,<100K,"Equity,SAFE","Angel ,Accelerator/incubator,Venture capital ,Family office,Strategic or corporate,Private equity,Bank,Foundation,Pension fund ,Sovereign wealth fund",Smart MCs Short Pitch V3.pdf (https://dl.airtable.com/.attachments/17e3ea0d4e737bdd1dfd53ed825a7f17/d661482a/SmartMCsShortPitchV3.pdf),,"Scaffolding and structure,Ingredient optimization",Other,,,Australia,Australia,"Payar Radfar, Lin Ding and Majid Ebrahimi Warkiani",2022,info@smartmcs.com.au,www.SmartMCs.com.au
Eighth Day Foods,Australian-based company producing plant based meat using lupins and traditional fermentation. ,Plant-based,"Meat,Seafood",Pre-seed,5,"300,000",1,Equity,"Angel ,Accelerator/incubator,Venture capital ,Family office,Private equity,Foundation",Eighth Day Foods - Investor Presentation Final June 2022 (1).pdf (https://dl.airtable.com/.attachments/01e391c813880b0dfcb17ea498980d2d/5e4363b7/EighthDayFoods-InvestorPresentationFinalJune20221.pdf),,End product formulation and manufacturing,"Whole muscle meat,Ground meat,Other meat","Chicken,Pork,Turkey,Fish,Beef/veal,Other","Lupine,Fungi",Australia,Australia,Jen Drew; Roger Drew,2020,Lloyd.wilkins@eighthdayfoods.com.au,www.eighthdayfoods.com.au
Aqua Cultured Foods,U.S.-based company that produces whole-muscle cut sushi-quality seafood alternatives using microbial fermentation ,Biomass fermentation,Seafood,Series A ,15,7M,2.2M,Equity,"Venture capital ,Family office,Strategic or corporate,Private equity,Sovereign wealth fund",,,End product formulation and manufacturing,,,,U.S. and Canada,United States,"Brittany Chibe, Anne Palermo",2021,anne@aquaculturedfoods.com,https://www.aquaculturedfoods.com/
ImpacFat,"Developing fish cell-based fat that is tasty, nutritional and sustainable",Cultivated,"Meat,Seafood,Ingredients and inputs",Seed,"2,400,000",Starting soon,0.11,Equity,"Angel ,Venture capital ,Foundation,Accelerator/incubator,Family office,Strategic or corporate",ImpacFat pitch deck Jun22 on dark background.pdf (https://dl.airtable.com/.attachments/dc2ed7d26e974c0c2c5063c330d37314/ae7e2605/ImpacFatpitchdeckJun22ondarkbackground.pdf),,"Ingredient optimization,Cell line development,End product formulation and manufacturing","Other meat,Oils and fats,Ingredients",Fish,,Asia Pacific,Singapore,"Shigeki Sugii, Mandy Hon, Lamony Chew, Cheryl Wong, Angela Lwin, Wee Kiat Ong",2022,info@impacfat.com,https://www.impacfat.com/
Meatiply,"Singapore-based local company developing and producing cultivated meat cuts through cutting-edge research, with the vision of generating healthier and more environmentally-friendly products that mimic the taste and texture of conventional meat.",Cultivated,"Meat,Ingredients and inputs,Bioprocessing infrastructure and equipment,Contract manufacturing/processing,Other",Seed,10,0,1,Equity,"Venture capital ,Angel ,Family office,Strategic or corporate,Private equity,Hedge fund,Sovereign wealth fund,Pension fund ,Foundation,Insurance company,Endowment,Accelerator/incubator",,,"Cell line development,Bioprocess design,Cell culture media,Scaffolding and structure,End product formulation and manufacturing,Ingredient optimization",Whole muscle meat,"Chicken,Duck,Pork",,"Asia Pacific,Global",Singapore,"Prof. Teh Bin Tean, Dr. Elwin Tan, Dr. Jason Chua, Dr. Benjamin Chua",2021,kumaresan.thanabal@gmail.com,https://meatiply.com/
Wild Microbes,A US-based company with a catalog of exceptional microbes bio production. ,"Fermentation-derived,Precision fermentation","Ingredients and inputs,Meat,Dairy,Eggs,Bioprocessing infrastructure and equipment,Food processing infrastructure and equipment",Seed,4.5,1.3,1.3,"Equity,SAFE","Angel ,Venture capital ,Foundation",,,"Bioprocess design,Feedstocks,Host strain development",Other,,,"U.S. and Canada,Europe",United States,"Tim Wannier, Ben Kramer",2021,Ben@wildmicrobes.com,www.wildmicrobes.com
Wamame Foods Inc.,Food technology company which focuses exclusively on premium concepts.,Plant-based,Meat,Seed,2,0,4000000,Equity,"Angel ,Accelerator/incubator,Venture capital ,Family office,Strategic or corporate",Deck for Wamame Q3 V2 (GFI).pdf (https://dl.airtable.com/.attachments/23dcc1c3419468aefc0b60b6436017de/349cc937/DeckforWamameQ3V2GFI.pdf),https://www.facebook.com/TopTierFoods/videos/142604154346706/,"End product formulation and manufacturing,Scaffolding and structure","Whole muscle meat,Ground meat,Other meat,Oils and fats","Beef/veal,Fish,Pork,Chicken","Pea,Soy,Blend,Fava bean,Canola,Quinoa","U.S. and Canada,Asia Pacific,Europe",Canada,Blair Bullus,2021,invest@toptierfoods.com,mywaygu.com
Climate Refarm,A public benefit corporation subsidizing plant-based alternatives by paying institutions like schools and hospitals through the sale of carbon credits generated through dietary shifts.,"Plant-based,Fermentation-derived","Other,Meat,Ingredients and inputs",Pre-seed,.25,.15,.15,SAFE,"Angel ,Accelerator/incubator,Foundation,Family office",Climate Refarm Investor Pitch Deck.pdf (https://dl.airtable.com/.attachments/0b15ffd4d9c16317efa168d47a3989ea/5747182b/ClimateRefarmInvestorPitchDeck.pdf),,,Other,,,Global,United States,"Manny Rutinel, Sebastian Quaade, Milo Knowles",2022,manny@climaterefarm.com,https://www.climaterefarm.com/
