Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Province,State,City,Website,Year Founded,Founders,Logo
AGT Foods,Global pulsed ingredients distributor ,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Lentils,Pea,Chickpea","Global,U.S. and Canada",Canada,Saskatchewan,Regina,http://www.agtfoods.com,2007,,Screen Shot 2021-01-05 at 4_32_53 PM.png (https://dl.airtable.com/.attachments/2db2fb4469874a2c5390ac0adbd50d98/4ceb6799/ScreenShot2021-01-05at4_32_53PM.png)
"Qingdao Tianwei Biotechnology Co., Ltd.",Oversees the main producing areas of high-quality Non-GMO soybean crops. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Soy,"Global,Asia Pacific",China,"Shandong, China","Shandong, China",http://www.soybeanproduct.com,2011,,image.png (https://dl.airtable.com/.attachments/378a94b2ac8c740754e7ba21daad5e23/7cc2752b/image.png)
Burcon NutraScience Corporation,Environmentally friendly plant-based protein technologies and blends,Plant-based,"Ingredients and inputs,Food processing infrastructure and equipment",Ingredient optimization,,,"Pea,Canola",U.S. and Canada,Canada,British Columbia,Vancouver,https://burcon.ca,1998,,image.png (https://dl.airtable.com/.attachments/2213df14de8b193aa117c8370129f0d9/0c300f49/image.png)
Hemp Oil Canada,Works to expand availability of hemp products while manufacturing from seed to final product. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Hemp,"Global,U.S. and Canada",Canada,"Quebec, Canada","Quebec, Canada",https://hempoilcanada.com,1998,,Screen Shot 2021-01-08 at 8_28_35 PM.png (https://dl.airtable.com/.attachments/f484cc4af37ac4112a162752ceb075cf/7c776897/ScreenShot2021-01-08at8_28_35PM.png)
"Dezhou Dawang Group Protein Food Co.,Ltd.",Single factory involved in soy processing ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Soy,"Global,Asia Pacific",China,"Qingdao, China","Qingdao, China",http://dawanggroup.globalimporter.net,1993,,image.jpeg (https://dl.airtable.com/.attachments/9a6f631040fec8290c87a84917baab3d/b3476bb2/image.jpeg)
Devansoy,"Provides natural, non-GMO, and organic soy products ",Plant-based,Ingredients and inputs,Ingredient optimization,,,Soy,U.S. and Canada,United States,Illinois,Rock City ,https://www.devansoy.com,,,image.png (https://dl.airtable.com/.attachments/9a5f24d0189ae4502593cc3fafcb2ade/b2bb770c/image.png)
CK Ingredients,Supplies specialty innovative raw materials,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Pea,Potato",U.S. and Canada,Canada,Ontario,Oakville,https://ckingredients.com,1994,,image.png (https://dl.airtable.com/.attachments/10ca957c55378851618ea77eb6c976fb/b866c59b/image.png)
"Naikai (Shanghai) Co., Ltd.","Trade company who deals with importing and exporting raw material of health products, pharmaceutical and chemical raw material, and food additives. ",Plant-based,Ingredients and inputs,Ingredient optimization,,,Other,Asia Pacific,China,"Shanghai, China","Shanghai, China", 	http://www.naikai-sh.com,,,Screen Shot 2021-01-27 at 6_05_19 PM.png (https://dl.airtable.com/.attachments/362f646d7f11db5d3eeea65afe1cd73e/f3b47ed9/ScreenShot2021-01-27at6_05_19PM.png)
Nutri-Pea Ltd.,"Manufacture of food-grade protein isolates, starches and fibers. ",Plant-based,Ingredients and inputs,Ingredient optimization,,,Pea,"Global,U.S. and Canada",Canada,"Portage la Prairie, Manitoba","Portage la Prairie, Manitoba",https://nutripea.com/,1978,,Screen Shot 2021-01-11 at 5_56_04 PM.png (https://dl.airtable.com/.attachments/b7c4cc79b0d4fe8b2544b2ac73fbdf9b/9d38ee1b/ScreenShot2021-01-11at5_56_04PM.png)
"Natural Products, Inc.",Producer of high quality soybeans. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Soy,"Global,U.S. and Canada",United States,Iowa,Grinnell,https://www.npisoy.com/,1995,,Screen Shot 2021-01-11 at 6_24_38 PM.png (https://dl.airtable.com/.attachments/c34da878f39492683179b8a2083f99e7/6a64b0f5/ScreenShot2021-01-11at6_24_38PM.png)
Shanghai Yancui Import and Export Corporation,Chemical ingredient importer and exporter. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Other,"Global,Asia Pacific",China,"Hong Kong, China","Hong Kong, China",http://www.yancui.com,2003,,image.png (https://dl.airtable.com/.attachments/bac6c7685d0970bae965b24653931035/ecb122df/image.png)
Farbest Brands,Focuses on providing clean-label ingredients with a focus on health and nutrition. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Soy,Sunflower",U.S. and Canada,United States,New Jersey,Park Ridge,https://farbest.com,,,Screen Shot 2021-01-08 at 3_47_02 PM.png (https://dl.airtable.com/.attachments/91b554e8d206687e50c63c25093e7599/f399fc0a/ScreenShot2021-01-08at3_47_02PM.png)
Dupont Nutrition & Health,Produces products with enhanced bio protection and improved nutrition. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,,"Global,U.S. and Canada",United States,Kansas,New Century,https://www.dupontnutritionandbiosciences.com,1802,,image.png (https://dl.airtable.com/.attachments/8d701707d56d320bd1e18e0b5d401c08/7fd4a303/image.png)
"Farmer Direct Foods, Inc.",Produces whole-wheat flour. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Wheat,U.S. and Canada,United States,Kansas,New Camrbia,https://www.farmerdirectfoods.com,,,Screen Shot 2021-01-08 at 4_17_19 PM.png (https://dl.airtable.com/.attachments/427196cc07f5df228743b025b3132efc/28a13ac2/ScreenShot2021-01-08at4_17_19PM.png)
"Gushen Biological Technology Group Co., Ltd",The leading industry in soybean protein production and oil processing,Plant-based,Ingredients and inputs,Ingredient optimization,,,Soy,"Global,Asia Pacific",China,"Shandong, China","Shandong, China",http://www.gsjt.com/en/page-5838.html,1999,,Screen Shot 2021-01-08 at 6_17_41 PM.png (https://dl.airtable.com/.attachments/7d2ed735eb8437affa29270826483d28/04b8616a/ScreenShot2021-01-08at6_17_41PM.png)
"Nutra Food Ingredients, LLC","Professional ingredient supplier for the Nutrition, Pharmaceutical and Food & Beverage industries ",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Pea,Soy",U.S. and Canada,United States,Michigan,Kentwood,https://www.nutrafoodingredients.com/,2004,,Screen Shot 2021-01-11 at 6_49_02 PM.png (https://dl.airtable.com/.attachments/94c5c213473bce427c065a2f590df545/934aadbc/ScreenShot2021-01-11at6_49_02PM.png)
"Austrade, Inc. Food Ingredients",Specializes in non-GMO and Organic food and beverage ingredients ,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Pea,Rice,Sunflower,Wheat",U.S. and Canada,United States,Florida,Palm Beach Gardens ,https://www.austradeinc.com/?gclid=CjwKCAiAudD_BRBXEiwAudakX-QvJRSq3w7wr-VyH0oHVktKM5sDlyWWf3pmPeUpMO8xOeoTGjZctxoClj4QAvD_BwE,1997,,Screen Shot 2021-01-05 at 5_56_47 PM.png (https://dl.airtable.com/.attachments/9e9de3af9a0d5659492c82f83549bc14/bae71f02/ScreenShot2021-01-05at5_56_47PM.png)
Alfa Chilena S.A.,Supplies a variety of ingredients based on market trends and customer needs ,Plant-based,Ingredients and inputs,Ingredient optimization,,,,Latin America,Chile,Planta Cerrillos,Santiago,https://alfagroup.cl/en/,1980,,Screen Shot 2021-01-05 at 4_41_11 PM.png (https://dl.airtable.com/.attachments/4222c3403c3595e678ad7324bb385277/cb572e2f/ScreenShot2021-01-05at4_41_11PM.png)
Roquette Inc.,"A global leader in plant-based ingredients, plant proteins, and a  provider of pharmaceutical excipients.

",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Pea,Wheat","Global,U.S. and Canada",United States,Iowa,Keokuk,https://www.roquette.com,1979,,Screen Shot 2021-01-14 at 1_19_47 PM.png (https://dl.airtable.com/.attachments/4179fb2205422c8a0bc285f8dc613f6c/80043733/ScreenShot2021-01-14at1_19_47PM.png)
"Garuda International, Inc.",Specializes in marketing and sales of natural ingredients. ,Plant-based,Ingredients and inputs,"Ingredient optimization,Crop development",,,"Wheat,Mushrooms",U.S. and Canada,United States,California,Exeter,https://garudaint.com,,,Screen Shot 2021-01-08 at 5_59_50 PM.png (https://dl.airtable.com/.attachments/172602341a462600df419986a7e64d99/cefeea6a/ScreenShot2021-01-08at5_59_50PM.png)
Gujarat Ambuja Exports Ltd.,"Manufactures Corn Starch Derivatives, Soya Derivatives, Feed Ingredients, Cotton Yarn, and Edible Oils. ",Plant-based,Ingredients and inputs,Ingredient optimization,,,Soy,"Global,Asia Pacific",India ,"Ahmedabad, India","Ahmedabad, India",https://www.ambujagroup.com,1991,,Screen Shot 2021-01-08 at 6_13_59 PM.png (https://dl.airtable.com/.attachments/8e977c062cd16f8296584b10b27c2174/c07852ce/ScreenShot2021-01-08at6_13_59PM.png)
"Qingdao Sonef Chemical Co., Ltd",Manufacturer and exporter for fertilizers and technology ,Plant-based,Ingredients and inputs,,,,Other,"Global,Asia Pacific",China,"Shandong, China","Shandong, China",https://sonef.en.alibaba.com,2010,,Screen Shot 2021-01-14 at 1_04_27 PM.png (https://dl.airtable.com/.attachments/fad8f00a04dac04a73a6e49a28163579/6b2f0ece/ScreenShot2021-01-14at1_04_27PM.png)
"Hefei TNJ Chemical Industry Co., Ltd.",Chemical manufacturer and supplier in China.,Plant-based,Ingredients and inputs,Ingredient optimization,,,Other,Asia Pacific,China,"Anhul Province, China","Anhul Province, China",http://www.tnjchem.com,2001,,Screen Shot 2021-01-08 at 8_20_19 PM.png (https://dl.airtable.com/.attachments/05ccd5f04e479ac1b1e0a688e9cea2f0/620e84fb/ScreenShot2021-01-08at8_20_19PM.png)
Penta Manufacturing Company,"Pioneers chemistry-based solutions for applications including flavoring, coloring, and fragrances. ",Plant-based,Ingredients and inputs,,,,Other,U.S. and Canada,United States,New Jersey,Livingston,https://www.pentamfg.com,1976,,image.png (https://dl.airtable.com/.attachments/480a71680db1d857eb9b0cf4ce254fda/dac8f729/image.png)
All Organic Treasures GmbH,Limited ingredients for the food and beauty industries ,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Almond,Sunflower",Europe,Germany,Wiggensbach,Am Mühlbach,https://www.all-organic-treasures.com,2003,,Screen Shot 2021-01-05 at 4_51_31 PM.png (https://dl.airtable.com/.attachments/2cfc94a9246d93c55c32f6ba62a724df/186326b8/ScreenShot2021-01-05at4_51_31PM.png)
"MTC Industries, Inc.","Researches, develops, processes, distributes and markets of diverse branded and bulk ingredients. ",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Pea,Rice",U.S. and Canada,United States,New York,Hauppague,https://www.mtcindustries.com/,1994,,Screen Shot 2021-01-11 at 6_07_36 PM.png (https://dl.airtable.com/.attachments/345f5d046e57ee29fc86aeee2869869e/b65bca4e/ScreenShot2021-01-11at6_07_36PM.png)
Shafi Gluco-Chem (Pvt. Ltd.,Manufacturer and distributor of sweeteners and proteins. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Tapioca,Rice","Global,Asia Pacific",Pakistan,"Karachi, Pakistan","Karachi, Pakistan",https://glucochem.com,2003,,Screen Shot 2021-01-14 at 1_58_47 PM.png (https://dl.airtable.com/.attachments/f4c6751eea3daa8e7d8e1fef41845e8a/4a444e1a/ScreenShot2021-01-14at1_58_47PM.png)
Gremount International Company Limited,"Specialized distributor of exporting and importing energy drink ingredients, additives, chemicals pharmaceuticals, flavors, and perfumes",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Pea,Rice,Wheat,Soy,Potato",Asia Pacific,China,"Beijing, China","Beijing, China",http://www.gremount.com.cn,1999,,Screen Shot 2021-01-08 at 6_08_27 PM.png (https://dl.airtable.com/.attachments/421e9f345b5d2a087b9fbc913e1c770f/2ae73652/ScreenShot2021-01-08at6_08_27PM.png)
H & A Canada,"Serves the food, nutrition, and pet food  industries with high quality ingredients and on-time delivery",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Soy,Rice,Pea,Sunflower",U.S. and Canada,Canada,"Ontario, Canada","Ontario, Canada",https://hacanada.com,1993,,Capture.JPG (https://dl.airtable.com/.attachments/d951adc9a52c8b651dc3b92febd0d628/081218a0/Capture.JPG)
"Wachsen Industry Co., Ltd.",Exports soy protein products. ,Plant-based,Ingredients and inputs,,,,Soy,"Global,Asia Pacific",China,"Qingdao, China","Qingdao, China",http://www.wachsen.net,2008,,Screen Shot 2021-01-20 at 2_05_58 PM.png (https://dl.airtable.com/.attachments/5e6a5c51f7b1fec008ea3620ad3553de/5c6b4d4d/ScreenShot2021-01-20at2_05_58PM.png)
"Food Ingredient Technology Co., Ltd.",Sources ingredients from the global marketplace for a multitude of different nutritional needs. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Pea,Soy","Global,Asia Pacific",Thailand,"Bangkok, Thailand","Bangkok, Thailand",https://www.fit-biz.com,2003,,Screen Shot 2021-01-08 at 4_39_05 PM.png (https://dl.airtable.com/.attachments/b744ebb54efcf4531255e1450d6214a7/1642f5c6/ScreenShot2021-01-08at4_39_05PM.png)
TEUTEXX,Experts in the field of Rapeseed/Canola protein separation,Plant-based,Ingredients and inputs,,,,Canola,U.S. and Canada,Canada,Ontario,Burlington,https://teutexx.com,,,image.png (https://dl.airtable.com/.attachments/d1a5046968a133f65966429aaf8a4dbd/89f47d3a/image.png)
"Shandong Yuxin Bio-Tech Co., Ltd.",Soy processing enterprise. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Soy,"Global,Asia Pacific",China,"Shandong, China","Shandong, China",http://www.soya-protein.com/en/,2003,,Screen Shot 2021-01-20 at 2_50_12 PM.png (https://dl.airtable.com/.attachments/09e366ad49814b92ab4aaff4affd7443/4d922478/ScreenShot2021-01-20at2_50_12PM.png)
Top Health Ingredients,"Supplies Non-GMO, plant-based ingredients direct to consumer. ",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Chickpea,Mung Bean,Rice,Fava bean,Pea,Hemp,Soy","Global,U.S. and Canada",Canada,Alberta,Edmonton,https://www.tophealthingredients.com,2009,,Screen Shot 2021-01-20 at 1_45_34 PM.png (https://dl.airtable.com/.attachments/a26611da20376358ed005956a8dcbf5e/a535d0f3/ScreenShot2021-01-20at1_45_34PM.png)
Ingredient Alliance,Cultivates hemp to deliver beverages infused with hemp and toiletries infused with CBD. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Hemp,U.S. and Canada,United States,California,Torrance,https://ingredientalliance.com,2019,,image.png (https://dl.airtable.com/.attachments/ded9a88b0770f7b8afb90abfeb996df7/0c92d662/image.png)
"Wuhan Golden Wing Industry & Trade Co., Ltd","Supplier of agricultural products & foods, chemicals, textiles, and castings for various industries. ",Plant-based,Ingredients and inputs,Ingredient optimization,,,Other,Asia Pacific,China,"Wuhan, China","Wuhan, China",http://www.golden-wing.com.cn,2000,,Screen Shot 2021-01-20 at 2_07_48 PM.png (https://dl.airtable.com/.attachments/d2c256861e866a9031e6241a58acb270/f8fd6944/ScreenShot2021-01-20at2_07_48PM.png)
"Linyi Shansong Biological Products Co., Ltd","Focuses on any available actions for stable, safe and effective soy protein deliveries.
 ",Plant-based,Ingredients and inputs,Ingredient optimization,,,Soy,"Global,Asia Pacific",China,Shandong Province,Linyi City,http://www.shansong.com,1995,,image.png (https://dl.airtable.com/.attachments/315a59c18d84f291cc9f19b22ba31076/1c3888d5/image.png)
Prinova,"Provides  high-quality ingredients, flavors and value-added solutions to the food, beverage and sports nutrition industry",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Pea,Rice,Sunflower,Mung Bean","Global,U.S. and Canada",United States,Illinois,Hanover Park ,https://www.prinovausa.com,1978,,Capture.JPG (https://dl.airtable.com/.attachments/2a1cc85602ca38ac9cae307b9cfdd681/41299308/Capture.JPG)
Ingredion,"Makes sweetness, starches, nutrition ingredients, and biomaterials that are used in everyday products from foods and beverages to paper and pharmaceuticals. ",Plant-based,Ingredients and inputs,Ingredient optimization,,,Pea,"Global,U.S. and Canada",United States,Illinois,Westchester,https://www.ingredion.com,1906,,image.png (https://dl.airtable.com/.attachments/448750c21325ea11efc4ec401b313faa/411c43eb/image.png)
MGP,"Leading supplier of premium distilled spirits, and specialty wheat proteins and starches to startups and global corps. ",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Wheat,Pea","Global,U.S. and Canada",United States,Kansas,Atchison,https://www.mgpingredients.com/,1941,,Screen Shot 2021-01-11 at 5_53_35 PM.png (https://dl.airtable.com/.attachments/0b753364d16d6b87902f330f98e75618/001f9b76/ScreenShot2021-01-11at5_53_35PM.png)
SK Food International,On-trend specialty ingredient processor. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Flaxseed,Grains,Seeds",U.S. and Canada,United States,North Dakota,Fargo,https://www.skfood.com,,,Screen Shot 2021-01-20 at 2_39_10 PM.png (https://dl.airtable.com/.attachments/9f6c362e1e8617b9440372d0749c73c3/e4f92b03/ScreenShot2021-01-20at2_39_10PM.png)
Royal DSM,Making food healthier and more sustainable ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Yeast,"Global,Europe",Netherlands,"Limburg, Netherlands","Limburg, Netherlands",https://www.dsm.com/corporate/home.html,,,logo-dsm.svg (https://dl.airtable.com/.attachments/c1edf8c7ed1094f6e3085d8e0848892e/b08f23d7/logo-dsm.svg)
Nexcel Natural Ingredients,Integrated distribution sight for a variety of Non-GMO and expeller-pressed natural oils. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Soy,Canola,Sunflower",U.S. and Canada,United States,Illinois,Springfield,http://www.nexcelfoods.com/,2000,,Screen Shot 2021-01-11 at 6_35_04 PM.png (https://dl.airtable.com/.attachments/cffa4a975182fbb53ac1ccf661f6e4fb/dd84bf0a/ScreenShot2021-01-11at6_35_04PM.png)
ADM (Archer Daniels Midland),Large global ingredients company. Sells various plant proteins. ,Plant-based,Ingredients and inputs,"Ingredient optimization,Crop development",,,"Soy,Pea,Wheat",U.S. and Canada,United States,Illinois,Chicago,https://www.adm.com/,1902,,Capture.JPG (https://dl.airtable.com/.attachments/ca535bb9a1dab4cfca9c1de629664db3/7b326eed/Capture.JPG)
Parabel,Developed a new way to optimize the nutrition found in water lentils. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Water Lentil,U.S. and Canada,United States,Florida,Vero Beach,https://www.parabel.com,2013,,image.png (https://dl.airtable.com/.attachments/478352901ec8dac2f4f5967a877ef159/2a8f928f/image.png)
América Pampa,Focuses on the industrialization of soy protein,Plant-based,Ingredients and inputs,Ingredient optimization,,,Soy,Latin America,Argentina,Buenos Aires,Buenos Aires,http://americapampa.com/en/america-pampa-ing/,,,Screen Shot 2021-01-05 at 5_02_21 PM.png (https://dl.airtable.com/.attachments/df75483cd84a086f8ff488ff831255af/1adabdbf/ScreenShot2021-01-05at5_02_21PM.png)
Vippy Industries Limited,Manufactures soy products. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Soy,"Global,Asia Pacific",India ,"Dewas, India","Dewas, India",https://vippysoya.com,1973,,Screen Shot 2021-01-20 at 1_50_21 PM.png (https://dl.airtable.com/.attachments/74aa9ff1335352f5202121566bd61ddc/7759b968/ScreenShot2021-01-20at1_50_21PM.png)
"Anhui Ruifuxiang Food Co., Ltd.",Manufactures grain deep processing products.,Plant-based,Ingredients and inputs,Ingredient optimization,,,Grains,"Global,Asia Pacific",China,"Bozhou, China","Bozhou, China",https://www.ahrfx.com,2005,,image.png (https://dl.airtable.com/.attachments/095811b98bb00560fbf094108ca5fbce/ee68c0e3/image.png)
Shijiazhuang Yuanchem Imp. & Exp. Corp. Ltd.,Chemical supplier of bariam chloride. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Other,Asia Pacific,China,"Hebei, China","Hebei, China",http://www.yuanchem.com,,,Screen Shot 2021-01-20 at 2_43_25 PM.png (https://dl.airtable.com/.attachments/a11c38653cb1bdb78b8db82b6be440b3/a63e5628/ScreenShot2021-01-20at2_43_25PM.png)
BI Neutraceuticals,Offers single ingredients and custom ingredient blends,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Hemp,Fava bean,Lentils,Rice",U.S. and Canada,United States,California,Rancho Dominguez,https://www.botanicals.com,1978,,image.png (https://dl.airtable.com/.attachments/ca132589e0ce71ddcd29ad29824ebeb5/4e1782d3/image.png)
Qingdao Free Trade Zone United,"Specializes in the production and import and export of food additives, flavor raw materials and pharmaceutical and chemical raw materials.",Plant-based,Ingredients and inputs,,,,Other,"Global,Asia Pacific",China,"Shandong, China","Shandong, China",http://www.unitedint.com/en/Index.aspx,1998,,image.png (https://dl.airtable.com/.attachments/38a312e0be08c0dcdfca6deb8d314257/2b780da2/image.png)
Manildra Group USA,"Supplier of wheat protein isolates, wheat gluten and starch to food manufacturing companies.",Plant-based,Ingredients and inputs,Ingredient optimization,,,Wheat,"Global,U.S. and Canada",United States,Kansas,Leawood,https://manildrausa.com/,1952,Jack Honan,Screen Shot 2021-01-11 at 5_44_16 PM.png (https://dl.airtable.com/.attachments/e2003126bfd9f112b938f8df83a74386/78d54519/ScreenShot2021-01-11at5_44_16PM.png)
Avebe,Creates a plant protein for use in plant-based foods from potatoes,Plant-based,Ingredients and inputs,Ingredient optimization,,,Potato,Europe,Netherlands,"Veendam, The Netherlands","Veendam, The Netherlands",https://www.avebe.com,1971,,image.png (https://dl.airtable.com/.attachments/46fc12b098d5e495e6d4f8124a387e18/2054e8af/image.png)
Tofutown,Producers of meat and dairy alternatives manufactured from plant sources,Plant-based,Contract manufacturing/processing,End product formulation and manufacturing,"Ground meat,Other meat","Beef/veal,Pork","Soy,Wheat","U.S. and Canada,Europe",Germany,,,https://www.tofutown.com/,1998,Bernd Drosihn,Screen Shot 2021-02-11 at 10_34_59 PM.png (https://dl.airtable.com/.attachments/d7bb595f7e6ccd63b1a696b3517301f2/480a571a/ScreenShot2021-02-11at10_34_59PM.png)
Nestlé,"Multinational manufacturer of food products, working with Switzerland-based Future Meat Technologies to explore cultivated meat","Plant-based,Cultivated","Contract manufacturing/processing,Meat,Seafood",End product formulation and manufacturing,"Ground meat,Milk,Whole muscle meat","Beef/veal,Chicken,Fish,Shellfish,Tuna",Soy,Europe,Switzerland,,Vevey,https://www.nestle.com/,1866,,logo.png (https://dl.airtable.com/.attachments/56137da79f6b541bb2b3cb6c8a5b129d/ab8c0527/logo.png)
"String
  Bio","Creates protein ingredients for Food & Feed (PROfit, PRO-DG, PROtyde)",Fermentation-derived,Ingredients and inputs,Ingredient optimization,,,,Asia Pacific,India ,,Bangalore,http://www.stringbio.com/,2013,Ezhil Subbian,Screen Shot 2021-02-11 at 1_04_15 PM.png (https://dl.airtable.com/.attachments/a3621d45e6caf6c42d195f1596d881ce/fbe327c7/ScreenShot2021-02-11at1_04_15PM.png)
"Vestkorn
  Milling AS",Vestkorn is the leading European producer of ingredients from peas and beans,Plant-based,Ingredients and inputs,End product formulation and manufacturing,,,"Pea,Fava bean",Europe,Norway,,Tau,https://vestkorn.com/,,,vestkorn.PNG (https://dl.airtable.com/.attachments/bee0cb5faaff3281ddeccb930908225a/78d2a76b/vestkorn.PNG)
Mori-Nu,Makes tofu and soy puree,Plant-based,Ingredients and inputs,End product formulation and manufacturing,,,Soy,U.S. and Canada,United States,California,Torrance,https://www.morinu.com/,1985,,logo@2x.png (https://dl.airtable.com/.attachments/86ca33a2627b94fa0d0078db86c9fd63/89cc4de2/logo2x.png)
Rubinmühle,Produces various grain ingredients and proteins,Plant-based,Ingredients and inputs,End product formulation and manufacturing,,,,Europe,Germany,,,http://www.rubinmuehle.de,,,rubinmuhle.png (https://dl.airtable.com/.attachments/b3a45f73da10a934ea149d3163bcebf5/56f8e53b/rubinmuhle.png)
Protebio,Vegetarian protein powder,Plant-based,Ingredients and inputs,Ingredient optimization,,,,Europe,Spain,,Castellón,http://www.protebio.com/,,,Screen Shot 2021-01-26 at 3_48_23 PM.png (https://dl.airtable.com/.attachments/c0facc7f2cd5bae7d4d7f03b56e86497/10f6701e/ScreenShot2021-01-26at3_48_23PM.png)
"Tereos
  S.A.",Ingredient supplier for a wide variety of industries,Plant-based,Ingredients and inputs,,,,"Wheat,Potato",Europe,France,Nord,Lille,https://tereos.com/en/,,,tereos.svg (https://dl.airtable.com/.attachments/d29d38194e704ad5ac9911ec50397d08/e2d2c0b5/tereos.svg)
Don Lee Farms,Supplier & co-packer of meat and plant proteins with decades of production know-how and culinary expertise,Plant-based,"Contract manufacturing/processing,Meat",End product formulation and manufacturing,Ground meat,"Beef/veal,Chicken",,"Global,U.S. and Canada",United States,California,Los Angeles,http://www.donleefarms.com/,1982,,Don Lee.jpg (https://dl.airtable.com/.attachments/7a3f772f0199fb24dc94b930fb0849e2/0a354a45/DonLee.jpg)
Amano Enzymes,Global leader in speciality enzymes used to elevate products from plant milks and meats to pharmaceuticals ,Precision fermentation,"Ingredients and inputs,Bioprocessing infrastructure and equipment",,,,,Global,United States,Illinois ,Elgin,https://www.amano-enzyme.com/,1899,,AmanoLogo.png (https://dl.airtable.com/.attachments/7fbb8a60f0433e71559d3ab2c3474500/1639ab5d/AmanoLogo.png)
"AOT
  Organic Products","Plant-based ingredient company, produces various plant-based proteins, oils, and fats",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Sunflower,Soy,Almond,Wheat,Rice,Pea,Oat,Coconut,Cashew,Hemp",Europe,Germany,,,https://www.all-organic-treasures.com/food.html,,,logo-pages.png (https://dl.airtable.com/.attachments/42cb3ecb2736d0284e67e8f60251d064/7481ea30/logo-pages.png)
Fuji Plant Protein Labs,Produces semi-finished ingredients for use in plant-based products. Also a co-manufacturer,Plant-based,"Ingredients and inputs,Contract manufacturing/processing,Dairy",End product formulation and manufacturing,"Cheese,Milk,Other",,"Mung Bean,Soy",Asia Pacific,Japan,Osaka,Izumisano,https://www.fujiplantproteinlabs.com/,2017,,FPPL-Logo-003.png (https://dl.airtable.com/.attachments/5587b4c5f77da431f0f390406aa161f5/e1044a72/FPPL-Logo-003.png)
Good Hemp,"Produces CBD oils, plant proteins, and plant-based milks",Plant-based,"Dairy,Ingredients and inputs","End product formulation and manufacturing,Ingredient optimization",Milk,,Hemp,Europe,United Kingdom,,"North Devon,",https://www.goodhemp.com/,,,gh-logo.png (https://dl.airtable.com/.attachments/1b497818dbdfeb3d2dbe75758771f5f3/ad34de48/gh-logo.png)
BETTEC B. V.,Produces vegan/vegetarian food coloring ,Plant-based,Ingredients and inputs,Ingredient optimization,,,,Europe,Netherlands,,Vaals,https://www.colourfood.de/,,,colourfood-logo-199x121.png (https://dl.airtable.com/.attachments/9bad240ad5f6e3a47424a217cfa5c9d7/da8238b6/colourfood-logo-199x121.png)
"Amêndoas
  do Brasil","Cashew supplier. Can be used in plant-based dairy applications
",Plant-based,Ingredients and inputs,Ingredient optimization,,,Cashew,Latin America,Brazil,Ceará,Fortaleza,http://www.amendoasdobrasil.com.br/,,,Amendoas.JPG (https://dl.airtable.com/.attachments/87933dc7ca8f152caba51c2a8081b369/983b2cd4/Amendoas.JPG)
"Biospringer
  AM Corporation","Biospringer is the historical yeast extract producer worldwide, with manufacturing plants in France, USA, Brazil and China.",Fermentation-derived,Ingredients and inputs,Ingredient optimization,,,Yeast,Europe,France,,Maisons-Alfort Cedex,https://biospringer.com/en/,,,logo-Biospringer.png.png (https://dl.airtable.com/.attachments/3265f5ae0cdfb63285fc933cff4a65c6/a7b15c94/logo-Biospringer.png.png)
"Ethiconomy
  Services GmbH",Plant-based co-manufacturer,Plant-based,Contract manufacturing/processing,,,,,Europe,Germany,Hamburg,Hamburg,https://ethiconomy.de/,,,Logo_ethiconomy_grau.png (https://dl.airtable.com/.attachments/55504511ff50adc779a290584aa0cc84/1f0ce5bd/Logo_ethiconomy_grau.png)
