Company,Brief Description,Year Founded,Website,Logo,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Province,State,City,Founders
Innocent Meat,"Germany-based company providing meat processors with an automated end-to-end clean meat production system, allowing producers of conventional meat to update supply chain and produce cultivated meat",2018,http://www.innocent-meat.com/,knst27jsbrv16robppeu.png (https://dl.airtable.com/.attachments/089e485c72d41ec988a9aec41e5dba83/247c3b2f/knst27jsbrv16robppeu.png),Cultivated,Meat,Bioprocess design,Ground meat,,,Europe,Germany,,Rostock,"Laura Gertenbach, Philipp Wolters"
IntegriCulture,Japan-based startup working on cultivated meat and leading an open-source movement,2015,http://integriculture.jp/?lang=en,logo_text.png (https://dl.airtable.com/.attachments/c55edce3ec7d7524da70e4c7fedad4d9/b3dde00a/logo_text.png),Cultivated,Meat,"Cell culture media,Cell line development,Bioprocess design",,,,Asia Pacific,Japan,,Tokyo,Yuki Hanyu
Ivy Farm Technologies,U.K.-based company that produces cultivated pork products.,2019,https://www.ivy.farm/,FxmVgf-Y_400x400.jpeg (https://dl.airtable.com/.attachments/1374115b4cd452d81878fd04554dc445/2c48e3f0/FxmVgf-Y_400x400.jpeg),Cultivated,Meat,End product formulation and manufacturing,Ground meat,Pork,,Europe,United Kingdom,,Oxford,"Dr. Russ Tucker, Cathy Ye"
Jellatech,US-based company producing cell-cultivated collagen,2020,https://www.jellatech.com/,#3 Jellatech Logo-01.jpg (https://dl.airtable.com/.attachments/6c4a611415e269500e3cef40d2e37528/6d2155c6/3JellatechLogo-01.jpg),Cultivated,Ingredients and inputs,"Target molecule selection,End product formulation and manufacturing",,,,U.S. and Canada,United States,North Carolina,Raleigh,Stephanie Michelsen
Jimi BioTech,China-based early-stage company that produces cultivated meat products ,2021,,,Cultivated,Meat,"End product formulation and manufacturing,Cell culture media,Cell line development",,Beef/veal,Algae,Asia Pacific,China,,,
Joes Future Food / Nanjing Zhouzi,China-based company producing serum-free cultivated pork and other meat products ,2019,http://www.joesfuturefood.com,26715724.png (https://dl.airtable.com/.attachments/cf772589e3aecf4590181d19d06cc1a9/eb02d645/26715724.png),Cultivated,Meat,End product formulation and manufacturing,Ground meat,Pork,,Asia Pacific,China,,Nanjing,Dr. Ding Shijie
KosmodeHealth,"Singapore-based company providing agricultural & food processing by-product valorization services, plant extracts, and 3-D scaffolds for cultivated meat. ",2016,https://kosmodehealth.com,2bd8183183d0f5e1445939a99b05dc30.png (https://dl.airtable.com/.attachments/d1e2656ca21929a2d2e5a7f32e76d415/81fe075b/2bd8183183d0f5e1445939a99b05dc30.png),Cultivated,Ingredients and inputs,"End product formulation and manufacturing,Scaffolding and structure",,,,"Global,Asia Pacific",Singapore,,,"Florence Leong, Huang Dejian"
Lab Farm Foods,"U.S.-based company producing various cultivated meats, including pork and chicken nuggets",2019,https://www.labfarmfoods.com/,logo (3).svg (https://dl.airtable.com/.attachments/c7cd685d75df8c9814675587b339252e/df76824d/logo3.svg),Cultivated,Meat,End product formulation and manufacturing,Whole muscle meat,"Pork,Chicken",,U.S. and Canada,United States,New York,New York,"Dave Schnettler, Tiziano Barberi"
"Luyef Biotechnologies, Inc. ",Chile-based cell-based meat company that has developed myoglobin protein to provide the flavor and aroma of real meat for plant-based meat alternatives and is also working on hybrid plant-based and cultivated meat products using an algae scaffold ,2020,https://luyef.com,Sb0d3khM2SHfMGAEPMzAyli8omS1636964510900_200x200.png (https://dl.airtable.com/.attachments/d65e4cd9bb67eb01d3b25fade460df5b/f61047a3/Sb0d3khM2SHfMGAEPMzAyli8omS1636964510900_200x200.png),Cultivated,Meat,"Bioprocess design,Scaffolding and structure",,,,Latin America,Chile,,Santiago,"Dr. Andrea Villanueva, Dr. Kris Blanchard, Pamela Barroso"
Magic Caviar,Netherlands-based company producing cultivated Oocytes in vitro to create caviar  ,2020,https://www.magiccaviar.com/,Capture.JPG (https://dl.airtable.com/.attachments/f175119ac321f71a2d85e90c74159bc5/6b5cf0fa/Capture.JPG),Cultivated,"Eggs,Seafood",End product formulation and manufacturing,Eggs,Fish,,Europe,Netherlands,,Amsterdam,Henri Kunz
Magic Valley,Australia-based company producing cultivated lamb meat,2021,https://magicvalley.com.au/,Magic Valley.jpeg (https://dl.airtable.com/.attachments/ac514ad87f718d2b8c80a81d4cf4bf7f/01cc27e3/MagicValley.jpeg),Cultivated,Meat,End product formulation and manufacturing,"Whole muscle meat,Other meat,Ground meat",Mutton/lamb,,Australia,Australia,,Melbourne,Paul Bevan
Matrix F.T. ,Startup making 3D nanofiber tubes for cultivated meat production,2019,https://www.matrixmeats.com/,MATRIXFT_Logo.jpeg (https://dl.airtable.com/.attachments/a13e6035e1f6d244401a6d2f295b8bc7/dccb55c4/MATRIXFT_Logo.jpeg),Cultivated,Meat,Scaffolding and structure,,,,U.S. and Canada,United States,Ohio,Columbus,Flavio Lobato
Meat Tomorrow ,Denmark-based startup that specializes in stem cell line development from livestock animals ,2021,meattomorrow.com,MEAT.png (https://dl.airtable.com/.attachments/18f83d96829893e79173c461842e60fd/79f07582/MEAT.png),Cultivated,Meat,Cell line development,Other meat,"Pork,Beef/veal",,Europe,Denmark,,Copenhagen,David Valbjørn & Matias Ankjær 
Meat.The End,Israel-based company developing production techniques and ingredients to boost the texture of meat alternatives,2020,www.meattheend.tech,MTE logo no BG.png (https://dl.airtable.com/.attachments/637683a959a8f120e56b279c3d115aea/829b9864/MTElogonoBG.png),"Plant-based,Cultivated",Meat,"Ingredient optimization,End product formulation and manufacturing","Whole muscle meat,Ground meat","Chicken,Beef/veal,Fish","Soy,Pea,Chickpea","Global,Africa/Middle East",Israel,,Tel Aviv,Dr. Yishai Mishor  Moshe Nesher  David Bensal   Dr. Benjamin Striem 
Meatable,Denmark-based company producing cultivated meat products,2018,https://www.meatable.com/,Capture.JPG (https://dl.airtable.com/.attachments/e03121d3ed5f635fe16474197654cec6/d30b23f9/Capture.JPG),Cultivated,Meat,End product formulation and manufacturing,,,,Europe,Netherlands,,Leiden,"Krijn de Nood, Daan Luining"
Meatafora,Israel-based company isolating and culturing farm animal stem cells inside plant-derived collagen microcarriers to produce cultivated meat,2021,www.meatafora.com,,Cultivated,Meat,Scaffolding and structure,,,,Africa/Middle East,Israel,,,
MeaTech,Israel-based company producing 3D printed cultivated meat,2019,http://www.meatech3d.com/,Meatech-menu-logo-02.png (https://dl.airtable.com/.attachments/89a600735b0c08eedca576d2a264c63b/69d3bfea/Meatech-menu-logo-02.png),Cultivated,Meat,"Scaffolding and structure,End product formulation and manufacturing",,,,Africa/Middle East,Israel,,Ness Ziona,
Meatiply,"Singapore-based local company developing and producing cultivated meat cuts through cutting-edge research, with the vision of generating healthier and more environmentally-friendly products that mimic the taste and texture of conventional meat.",2021,https://meatiply.com/,meatiply-secondary_logo-full_color.jpg (https://dl.airtable.com/.attachments/5ea3ad05b5647f222cd12f745cd6e4aa/3786e208/meatiply-secondary_logo-full_color.jpg),Cultivated,"Meat,Ingredients and inputs,Bioprocessing infrastructure and equipment,Contract manufacturing/processing,Other","Cell line development,Bioprocess design,Cell culture media,Scaffolding and structure,End product formulation and manufacturing,Ingredient optimization",Whole muscle meat,"Chicken,Duck,Pork",,"Asia Pacific,Global",Singapore,,Singapore,"Prof. Teh Bin Tean, Dr. Elwin Tan, Dr. Jason Chua, Dr. Benjamin Chua"
Meatleo,"Canada-based company using cell culture and a unique manufacturing bioprocess to develop cultivated beef.
",2021,https://meatleo.com/,,Cultivated,"Meat,Ingredients and inputs",End product formulation and manufacturing,Ground meat,,,U.S. and Canada,Canada,Québec,Saint-Bruno-de-Montarville,Pierre Normandin
Meatosis,Israel-based company developing cell-cultured fish products,2021,not available yet,Meatosis logo.jpg (https://dl.airtable.com/.attachments/349ba433a09b54e167de202de1d20c93/4014a0a5/Meatosislogo.jpg),Cultivated,Seafood,"Cell line development,Ingredient optimization",,Fish,,Africa/Middle East,Israel,,Emek Hama'ayanot,"Einam Avishai, Peleg Itay"
Mermade Seafoods,Israeli cell-based seafood company specializing in shellfish,2021,www.mermadefoods.com,mermade aqua_grey (1).png (https://dl.airtable.com/.attachments/f0b49614584455d917a34f11d3b650e4/2f487ef1/mermadeaqua_grey1.png),Cultivated,Seafood,"Cell culture media,Cell line development,Bioprocess design,End product formulation and manufacturing",,,,Global,Israel,,Jerusalem,"Tomer Halevy, Rotem Kadir, Daniel Einhorn"
Mewery,"Czech Republic-based startup cultivating pork lab-grown meat on microalgae proprietary base 

",2020,www.mewery.io,mewery-logo-final-02.png (https://dl.airtable.com/.attachments/0e87a7fe96f4dc62098a4f31be275c5a/78d4e2da/mewery-logo-final-02.png),Cultivated,Meat,"Cell culture media,Scaffolding and structure,Cell line development","Whole muscle meat,Ground meat","Pork,Beef/veal",Algae,Europe,Czech Republic,,Brno,Roman Laus
Micro Meat,Mexico-based company developing technologies that enable the scaling of cultivated meat production ,2021,www.micromeat.com,MicroMeat_PrimaryLogo.png (https://dl.airtable.com/.attachments/75025e16fecf36622b19cfca48de58d2/db6f2147/MicroMeat_PrimaryLogo.png),Cultivated,Bioprocessing infrastructure and equipment,"Bioprocess design,Scaffolding and structure",,,,"Global,Latin America",Mexico,,Monterrey,
Mirai Foods AG (fmr. AlphaMeats),Switzerland-based company producing cultivated meat products ,2019,http://alphameats.com,01.jpg (https://dl.airtable.com/.attachments/a9036b19f0aa04d7d1f644b8b67c7c6a/e67bb739/01.jpg),Cultivated,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,,Europe,Switzerland,,Zürich Area,"Christoph Mayr, Suman Kumar Das"
Mission Barns,"U.S.-based startup working on cultivated meat, currently offering Kosher Bacon",2018,https://www.missionbarns.com/,Capture.JPG (https://dl.airtable.com/.attachments/01d2d7f56122ced393a5d66b0528be30/67c728cb/Capture.JPG),Cultivated,Meat,End product formulation and manufacturing,Whole muscle meat,Pork,,U.S. and Canada,United States,California,San Francisco,"Eitan Fischer, David Bowman"
Mogale Meats,"South Africa-based company developing cell-lines for cultured meat, including antelope",2020,https://mogalemeat.com/,MOGALE-logo-1c.png (https://dl.airtable.com/.attachments/4d901d745c396f17fcbdbcf28d2410c6/504eb582/MOGALE-logo-1c.png),Cultivated,Meat,End product formulation and manufacturing,"Whole muscle meat,Other meat,Ground meat","Beef/veal,Other,Antelope",,Africa/Middle East,South Africa,,Hartbeespoort,DR. PAUL BARTELS
Mooji Meats,U.S.-based company developing scalable process that authentically textures alternative meats and ground meats. ,2021,https://www.moojimeats.com/,logos_4_White_on_green2.png (https://dl.airtable.com/.attachments/7567a72d1593ad3e7e53c663a35b0bdd/27a1c38e/logos_4_White_on_green2.png),"Plant-based,Cultivated","Food processing infrastructure and equipment,Contract manufacturing/processing,Meat,Dairy,Ingredients and inputs,Bioprocessing infrastructure and equipment,Seafood",Scaffolding and structure,Whole muscle meat,"Beef/veal,Chicken,Pork,Fish,Duck,Tuna","Agar agar,Mycoprotein,Whey,Soy,Pea,Wheat,Algae","U.S. and Canada,Europe,Latin America,Africa/Middle East,Asia Pacific,Global,Australia",United States,,,
Mosa Meat,Netherlands-based startup working on cultivated beef in collaboration with Mark Post at Maastricht University ,2015,https://www.mosameat.com/,MosaMeat+Primary+Logo+Deep+Blue+Colour.png (https://dl.airtable.com/.attachments/659256627f7b9f646edb79dc9eb4607a/92953e9a/MosaMeatPrimaryLogoDeepBlueColour.png),Cultivated,Meat,"End product formulation and manufacturing,Cell culture media,Bioprocess design,Cell line development",,Beef/veal,,Europe,Netherlands,,Maastricht,"Peter Verstrate, Mark Post"
Multus,Multus is creating the growth media to make cultivated meat affordable and accessible,2019,www.multus.media,logo-B+Slogan+WB.png (https://dl.airtable.com/.attachments/9954772e74d7a741bb48f5ebebcbf9ff/87ce15c2/logo-BSloganWB.png),Cultivated,Ingredients and inputs,"Cell culture media,Ingredient optimization",,,,"Europe,Global,U.S. and Canada,Asia Pacific",United Kingdom,,London,"Cai Linton, Reka Tron, Kevin Pan"
Multus Media,U.K.-based startup working on serum free cell culture media for cultivated meat,2019,https://multus.media/,Capture.JPG (https://dl.airtable.com/.attachments/a2ca0b2a364ff4c67181246d0273d90a/6ae03058/Capture.JPG),Cultivated,Ingredients and inputs,Cell culture media,,,,Europe,United Kingdom,,London,Kevin Pan
Myo Meats,"Cultured beef company based in San Diego, CA. ",2020,https://www.linkedin.com/company/myomeats/,MyoMeats_BlueIcon.png (https://dl.airtable.com/.attachments/25352e434266c5173d2d6549ad5f626c/ef598545/MyoMeats_BlueIcon.png),Cultivated,Meat,,"Ground meat,Whole muscle meat",Beef/veal,,U.S. and Canada,United States,California,San Diego,"Leo Castaneda, Suzanne Peterson, Charles Martin"
MyoWorks,India-based company producing scaffolding for the cultivated meat industry,2020,https://www.myoworks.in,myoworkslogo.jpg (https://dl.airtable.com/.attachments/fa99727f0c2daf9aa5cb7b4ea9813fb6/529f794c/myoworkslogo.jpg),Cultivated,"Meat,Ingredients and inputs",Scaffolding and structure,Whole muscle meat,,,"Asia Pacific,Global",India ,,Mumbai,"Nihal Singh, Shubhankar Takle"
Mzansi Meat Co,South Africa-based startup working on cultivated beef and chicken,2020,http://mzansimeat.co/,Mzansi-Meat-Co-Logo-Dark-Transparent.png (https://dl.airtable.com/.attachments/462b1795f1f6ec0dc28df43be6fd072c/caf2f5b2/Mzansi-Meat-Co-Logo-Dark-Transparent.png),Cultivated,Meat,"Cell culture media,End product formulation and manufacturing",Whole muscle meat,"Beef/veal,Chicken",,Africa/Middle East,South Africa,,Johannesburg,"Jay Van Der Walt, Brett Thompson"
New Age Eats,U.S.-based startup producing on cultivated meat (formerly New Age Meats),2018,http://www.newagemeats.com/,logo-min.svg (https://dl.airtable.com/.attachments/d49272b1213a06031598afdcba050327/24e33af2/logo-min.svg),Cultivated,Meat,End product formulation and manufacturing,,,,U.S. and Canada,United States,California,San Francisco,"Brian Spears, Andra Necula"
NewCo,Israel-based company that produces cultivated raw meat products ,2021,https://www.globenewswire.com/news-release/2022/01/10/2363587/0/en/Biotechnology-Company-Pluristem-and-Israel-s-Largest-Food-Producer-Tnuva-Launch-Landmark-Collaboration-to-Establish-Cultured-Food-Platform.html,,Cultivated,Meat,End product formulation and manufacturing,Whole muscle meat,,,Africa/Middle East,Israel,,,
NewDay Farm,"China-based company developing 3D food-grade scaffolds, reducing media cost with recombinant growth factors, stem cell technology, and pork belly products",2021,,,Cultivated,"Meat,Bioprocessing infrastructure and equipment","Cell culture media,Scaffolding and structure,End product formulation and manufacturing",,Pork,,Asia Pacific,China,,,
Novel Farms,U.S.-based company that produces whole cuts of cultured Iberian pork,2020,https://www.novelfarms.co/,Novel Farms_Temporary Logo_B.png (https://dl.airtable.com/.attachments/d565faa5c46293432a563de0a0b85bc3/1c4af869/NovelFarms_TemporaryLogo_B.png),Cultivated,Meat,"End product formulation and manufacturing,Scaffolding and structure",Whole muscle meat,Pork,,U.S. and Canada,United States,California,Berkeley,"Nieves Martinez Marshall, PhD, & Michelle Lu, PhD."
NUProtein Co.,"Japan-based company providing plant-based synthetic proteins for cultured media, such as growth factors and myoglobin of any animals from wheat germ",2016,https://nuprotein.jp/en,nulogo2.png (https://dl.airtable.com/.attachments/886f020c2d1227e7c0a53c1a7bee68f5/12ea76f0/nulogo2.png),Cultivated,Ingredients and inputs,Cell culture media,,,,Asia Pacific,Japan,Hyogo,Tokushima,"Masataka Minami
"
OCEANTASTES INC.,"A US-based company that produces Flavorful, Nutritious & Safe Cultivated Seafood",2021,https://oceantastes.com,logo-normal-200.png (https://dl.airtable.com/.attachments/0f4572a11ffe784920da00c6baa4bd0f/9e810833/logo-normal-200.png),Cultivated,Seafood,"Cell culture media,Scaffolding and structure,End product formulation and manufacturing,Cell line development",,,,U.S. and Canada,United States,California,Pleasant Hill,"Peter (Sepehr) Nesaei, Reza Ovissi, Nitin Nitin"
Ohayo Vallley,US-based company blending plant-based and cultivated meat to produce cultivated wagyu ribeye,2020,www.ohayovalley.com,Ohayo_Valley_logo_RGB_2.jpg (https://dl.airtable.com/.attachments/0401e3000a2e5ff4bdf9b19ffacb534a/7c118720/Ohayo_Valley_logo_RGB_2.jpg),Cultivated,Meat,"End product formulation and manufacturing,Cell line development,Scaffolding and structure","Whole muscle meat,Ground meat",Beef/veal,,U.S. and Canada,United States,California,Berkeley,Jess Krieger
Optium,Israel-based company developing an AI-based platform that achieves maximum results in cellular agriculture production.,2022,https://www.optium-ai.com/,,"Precision fermentation,Cultivated","Contract manufacturing/processing,Bioprocessing infrastructure and equipment",Bioprocess design,,,,Africa/Middle East,Israel,,Haifa,"Amir Trifman, Shahar Trifman, Motti Koren"
Orbillion Bio,"U.S.-based company producing various cultivated meats, including wagyu beef, elk, sheep and American bison. ",2019,https://www.orbillion.com/,Orbillion Bio.png (https://dl.airtable.com/.attachments/80111e26f3bde2f4d6acb2868a9fc0b7/a7f091c2/OrbillionBio.png),Cultivated,Meat,"Cell line development,Bioprocess design","Ground meat,Whole muscle meat","Other,Beef/veal,Mutton/lamb",,U.S. and Canada,United States,California,Berkeley ,"Patricia Bubner, PhD, Samet Yildirim, MSc, MBS and Gabriel Levesque-Tremblay, PhD"
Ouro Foods,"Ouro Foods is developing 4D tissue engineering + bioprinting technologies  to create plant- and cell-based meat that “corrects” flavor and aroma for a variety of taste-impaired palate profiles. This protein will be the centerpiece of meal kits targeting taste impaired patients. 

",2022,http://www.ourofoods.com,,"Plant-based,Cultivated",Meat,End product formulation and manufacturing,,,,U.S. and Canada,United States,California,,
Peace of Meat,Germany-based company producing and supplying cultured fat as a tasty and texturing ingredient,2019,http://peace-of-meat.com/,hhrl0pmvbiasyefhaefq.png (https://dl.airtable.com/.attachments/b1cff4dcb78c2d1db20866c70337e57f/cd287e9c/hhrl0pmvbiasyefhaefq.png),Cultivated,Meat,Ingredient optimization,Ground meat,Beef/veal,,Europe,Germany,,Berlin,"Dirk von Heinrichshorst, David Brandes, Eva Sommer"
Pearlita Foods ,"U.S.-based company that produces cell-cultured shellfish products, including oysters and abalone ",2022,https://www.pearlitafoods.com,pearlita.jpg (https://dl.airtable.com/.attachments/bf8a5e6eef8aebfafeef14189add5cbd/9f1d3309/pearlita.jpg),Cultivated,Seafood,End product formulation and manufacturing,,Shellfish,,U.S. and Canada,United States,North Carolina,Raleigh,"Nikita Michelsen, Joey Peters"
Pristine Pet Food,U.S.-based cultivated pet food company,2018,https://www.pristinepetfood.com/,Pristine Pet Food.gif (https://dl.airtable.com/.attachments/0228de31180ae7b21d444d3bfce50af8/d887c44f/PristinePetFood.gif),Cultivated,Other,End product formulation and manufacturing,Pet food,,,U.S. and Canada,United States,California,,Diana Marmorstein
Profuse Technology,"Israel-based company developing technology for optimization of the cell differentiation, fusion and maturation production-stage of cultivated meat",2021,https://profuse-tech.com/,,Cultivated,Meat,Bioprocess design,,,,Africa/Middle East,Israel,,,
"Prolific Machines, Inc. ",U.S.-based company building cell manufacturing platform to enable stem cells to be maintained and differentiated without any recombinant proteins in the feedstock,2020,https://www.prolific-machines.com/,,Cultivated,Bioprocessing infrastructure and equipment,Bioprocess design,,,,U.S. and Canada,United States,California,San Francisco,
Quest Meat,UK-based company that produces cultivated meat products,2021,https://questmeat.wordpress.com/,Quest Meat logo.jpg (https://dl.airtable.com/.attachments/2f8ab1a4ba4aca7d0ef8c3006b19e45d/564deb95/QuestMeatlogo.jpg),Cultivated,Meat,"Bioprocess design,Cell culture media,End product formulation and manufacturing,Cell line development",Ground meat,"Beef/veal,Pork",,Europe,United Kingdom,,Birmingham,"Petra Hanga, Ivan Wall, John Sinden, Michael Hunt, Russell Kerr"
Quest Meat,"UK-based company focused on production and scale up of beef, as well as the development of adjunctive technologies to enhance process efficiency.",2021,www.questmeat.com,Screenshot 2022-04-04 at 23.44.05.png (https://dl.airtable.com/.attachments/b3ac8c85fbb7eb7c606d8d0c71ee448b/de588ff6/Screenshot2022-04-04at23.44.05.png),Cultivated,"Meat,Ingredients and inputs,Bioprocessing infrastructure and equipment","Bioprocess design,Cell culture media,End product formulation and manufacturing,Cell line development",Ground meat,Beef/veal,,Europe,United Kingdom,,Birmingham,"Ivan Wall, Petra Hanga, Michael Hunt, John Sinden, Russell Kerr"
Roslin Technologies Ltd,"U.K.-based AgriTech company, supplying iPS cell lines to the cultivated meat industry.",2016,www.roslintech.com,RoslinTech Logo.jpg (https://dl.airtable.com/.attachments/a0c15dbc455ba40f20917386f8848cc6/f7adf097/RoslinTechLogo.jpg),Cultivated,Ingredients and inputs,Cell line development,,,Other,"Global,Europe",United Kingdom,,Edinburgh,Glen Illing
SciFi Foods,U.S.-based start-up working on cultivated and cultured meat products (formerly Artemys Foods) ,2019,https://scififoods.com/,ncvgvj1raxbf6q4zpkgv.png (https://dl.airtable.com/.attachments/5a22817f772a3d399a8b88483be12828/ec9b1dd7/ncvgvj1raxbf6q4zpkgv.png),Cultivated,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,,U.S. and Canada,United States,California,San Francisco,"Jessica Krieger, Joshua March"
Sea-Stematic,South Africa-based company focused on manufacturing fish through cell cultivation and with progressive food production R&D processes,2021,https://sea-stematic.com/,Sea-stematic logo.png (https://dl.airtable.com/.attachments/209fefb9d883acb57aced258b825c400/43863aae/Sea-stematiclogo.png),Cultivated,Seafood,End product formulation and manufacturing,Whole muscle meat,Fish,,Africa/Middle East,South Africa,,Johannesburg,Marica Quarsingh
Sea-Stematic,MEA's first early stage Cultivated Seafood company,2021,https://sea-stematic.com/,IMG-20210502-WA0003 (002).jpg (https://dl.airtable.com/.attachments/b9b6646bb4dc3c8244f986c40e63cd03/d16851ef/IMG-20210502-WA0003002.jpg),Cultivated,Seafood,End product formulation and manufacturing,,,,Africa/Middle East,South Africa,,Johannesburg ,Marica Quarsingh
Sea2Cell,Israel-based company producing proprietary immortalized fish cell lines for the production of cultivated fish.,2021,https://fresh-start.co.il/portfolio/,,Cultivated,Seafood,"Cell line development,End product formulation and manufacturing",,Fish,,Africa/Middle East,Israel,,,
Seawith,South Korea-based company producing cultured meat through algal engineering technology as well as low iodine seaweed ,2019,http://seawith.net/en/index.html,seawithlogo2.png (https://dl.airtable.com/.attachments/7c2ca9e6dc9e6ea810734ac74ac73c83/b792e86e/seawithlogo2.png),Cultivated,Meat,"Bioprocess design,Ingredient optimization",Whole muscle meat,,Algae,Asia Pacific,South Korea,,,Joonho Keum and Heejae Lee 
Shiok Meats,"Singapore-based company producing cultivated seafood, including crustaceans like shrimps, crabs, and lobsters",2018,https://shiokmeats.com/,Screen Shot 2021-02-08 at 2_19_19 PM.png (https://dl.airtable.com/.attachments/03897705cd15bf4cb850edf49bf9bec1/c45c1a08/ScreenShot2021-02-08at2_19_19PM.png),Cultivated,"Meat,Seafood",End product formulation and manufacturing,Whole muscle meat,"Fish,Shellfish",,Asia Pacific,Singapore,,Singapore,"Sandhya Sriram, Ka Yi Ling"
Smart MCs,Australian based company that provides the means for up-scaling the cell culture of cultivated meat companies.,2022,www.SmartMCs.com.au,Smart MCs Logo Main.png (https://dl.airtable.com/.attachments/d400a30c6b2f71a7828378f571bbe581/f5eac259/SmartMCsLogoMain.png),Cultivated,"Meat,Ingredients and inputs,Other","Scaffolding and structure,Ingredient optimization",Other,,,Australia,Australia,,Sydney,"Payar Radfar, Lin Ding and Majid Ebrahimi Warkiani"
Sound Eats,"U.S.-based company pursuing a science-forward approach to the development of textured, cultivated fish meat.",2021,https://www.soundeats.com/,Sound Eats Logo.jpg (https://dl.airtable.com/.attachments/2e293007e443df436df038a29aeebc22/5c9692db/SoundEatsLogo.jpg),Cultivated,"Meat,Seafood,Ingredients and inputs","Cell culture media,Cell line development,Bioprocess design,Scaffolding and structure,End product formulation and manufacturing","Whole muscle meat,Ground meat,Ingredients",Fish,,U.S. and Canada,United States,Washington,Seattle,"Nick Geisse, David Mack, Alec Smith, Reza Ovissipour, Alessandro Bertero, Jeanot Muster, Sepehr Nasaei, Greg Potter"
SuperMeat,Israel-based company developing cultivated chicken,2015,https://www.supermeat.com/,Screen Shot 2021-02-08 at 3_41_44 PM.png (https://dl.airtable.com/.attachments/8ba7f89616ba25a49878e9af262688f1/e3a53144/ScreenShot2021-02-08at3_41_44PM.png),Cultivated,Meat,End product formulation and manufacturing,Whole muscle meat,Chicken,,Africa/Middle East,Israel,"Rehovot, Israel","Rehovot, Israel","Ido Savir, Koby Barak, Shir Friedman"
Tender (formerly Boston Meats),U.S.-based cultured meat company,2020,https://www.tenderfood.com,boston-meat.jpeg (https://dl.airtable.com/.attachments/b8b865b2205dfe9c597de975e21504b6/86e3b6ea/boston-meat.jpeg),Cultivated,Meat,End product formulation and manufacturing,Whole muscle meat,Beef/veal,,"Global,U.S. and Canada",United States,Massachusetts,Somerville,"Christophe Chantre, Grant Gonzalez, Kevin Kit Parker, Luke MacQueen"
TurtleTree Labs,Singapore-based company producing cultivated dairy products ,2019,https://turtletreelabs.com/,ftLogo.png (https://dl.airtable.com/.attachments/98f46b3afd3372867825a7a34245bdd1/7423f7f0/ftLogo.png),Cultivated,Dairy,"Cell culture media,Cell line development,End product formulation and manufacturing",Milk,,,"Asia Pacific,U.S. and Canada",Singapore,,Singapore,"Fengru Lin, Mkulima Britt, Max Rye"
TurtleTree Scientific,"Singapore-based company producing food grade growth factors and cell culture media to design the necessary foundations for the industry to thrive, started by TurtleTree Labs",2021,https://turtletreescientific.com/,,Cultivated,"Ingredients and inputs,Bioprocessing infrastructure and equipment",Cell culture media,,,,"Asia Pacific,U.S. and Canada",Singapore,,Singapore,Fengru Lin
Umami Meats,"Singapore-based company developing cultivated seafood, starting with IUCN Red Listed species that are difficult to farm and that are being driven extinct by human consumption. 
",2020,https://www.umamimeats.com/,blue.png (https://dl.airtable.com/.attachments/05a9fa5752542ea74f1a696bd806b87e/fcd05920/blue.png),Cultivated,"Meat,Ingredients and inputs,Seafood","Cell line development,Ingredient optimization",,"Fish,Shellfish",,Asia Pacific,Singapore,,Singapore,Mihir Pershad 
Unicorn Biotechnologies,U.K.-based company developing a fully automated manufacturing platform to enable cellular agriculture and cultivated meat producers to seamlessly scale products from the lab bench to supermarket shelves,2020,https://unicornbiotechnologies.com/,UB Fav 256 Color.png (https://dl.airtable.com/.attachments/b9cffbbca850312ff32aeac9e53ea029/530b7d1b/UBFav256Color.png),Cultivated,Bioprocessing infrastructure and equipment,Bioprocess design,,,,Europe,United Kingdom,,Cambridge,Adam Glen and Jack Reid
Upside Foods ,"U.S.-based cultivated meat startup producing beef, duck, and chicken product prototypes ",2015,http://www.memphismeats.com/,Horizontal_Black.png (https://dl.airtable.com/.attachments/f980553afd7a3333351085ab99b9d7fe/fa71f9b8/Horizontal_Black.png),Cultivated,Meat,"Cell line development,End product formulation and manufacturing",,"Duck,Beef/veal,Chicken",,U.S. and Canada,United States,CA,San Leandro,"Uma Valeti, Nicholas Genovese, Will Clem"
VITAL MEAT,French-based cultured chicken company,2018,https://www.dnb.com/business-directory/company-profiles.vital_meat.5ae0215288e8287672b96a0d5b888083.html,Vital Meat_quadri_FR.png (https://dl.airtable.com/.attachments/e582c1c935d0c2960cdc26b3512e98d8/f75b7aca/VitalMeat_quadri_FR.png),Cultivated,Meat,"Cell culture media,Bioprocess design,Cell line development,End product formulation and manufacturing","Ground meat,Other meat",Chicken,,Europe,France,,NANTES,Groupe Grimaud & Etienne Duthoit
